Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
64	9	Mi5	E5	336	336	1	32	139	99	96	
65	9	Re5	D5	327	327	1	8	556	99	96	
66	9	Mi5	E5	336	336	1	16	278	99	96	
67	9	Fa5	F5	340	340	1	16	278	99	96	
68	9	Mi5	E5	336	336	1	16	278	99	96	
69	9	Fa5	F5	340	340	1	16	278	99	96	
70	9	Mi5	E5	336	336	1	16	278	99	96	
71	9	Re5	D5	327	327	1	16	278	95	96	
72	9	Re5	D5	327	327	3	8	1667	95	96	du  
73	9	Mi5	E5	336	336	1	16	278	95	96	SAZ 
74	9	Fa5	F5	340	340	1	16	278	95	96	.
75	9	Mi5	E5	336	336	1	16	278	95	96	.
76	9	Re5	D5	327	327	1	16	278	95	96	.
77	9	Do5#4	C5#4	322	322	1	16	278	95	96	.
78	9	Re5	D5	327	327	1	16	278	95	96	.
79	9	Mi5	E5	336	336	4	8	2223	95	96	.
80	9	Re5	D5	327	327	1	4	1111	95	96	Dî
81	9	Mi5	E5	336	336	1	8	556	95	96	de
82	9	Mi5	E5	336	336	1	4	1111	95	96	le
83	9	Mi5	E5	336	336	4	8	2223	95	96	rim 
84	9	Mi5	E5	336	336	1	8	556	99	96	kan
85	9	Fa5#4	F5#4	344	344	1	8	556	95	96	
86	9	Sol5	G5	349	349	1	8	556	95	96	la 
87	9	Fa5#1	F5#1	341	341	1	8	556	99	96	dol
88	9	Mi5	E5	336	336	1	8	556	99	96	
89	9	Re5	D5	327	327	1	8	556	99	96	
90	9	Do5#4	C5#4	322	322	1	8	556	99	96	
91	9	Fa5	F5	340	340	1	16	278	99	96	
92	9	Mi5	E5	336	336	1	16	278	95	96	
93	9	Mi5	E5	336	336	3	8	1667	95	96	du 
94	9	Mi5	E5	336	336	1	16	278	95	96	SAZ 
95	9	Fa5	F5	340	340	1	16	278	95	96	.
96	9	Mi5	E5	336	336	1	16	278	95	96	.
97	9	Re5	D5	327	327	1	16	278	95	96	.
98	9	Do5#4	C5#4	322	322	1	16	278	95	96	.
99	9	Re5	D5	327	327	1	16	278	95	96	.
100	9	Mi5	E5	336	336	4	8	2223	95	96	.
101	9	Sol5	G5	349	349	1	8	556	99	96	kan
102	9	Fa5	F5	340	340	1	8	556	95	96	
103	9	Mi5	E5	336	336	1	8	556	95	96	la 
104	9	Re5	D5	327	327	1	8	556	99	96	dol
105	9	Do5#4	C5#4	322	322	1	8	556	99	96	
106	9	Si4b4	B4b4	310	310	1	8	556	99	96	
107	9	La4	A4	305	305	1	8	556	99	96	
108	8	Mi5	E5	336	336	1	128	35	99	96	
109	9	Re5	D5	327	327	1	16	278	99	96	
110	9	Do5#4	C5#4	322	322	1	16	278	95	96	
111	9	Do5#4	C5#4	322	322	3	8	1667	95	96	du  
112	9	Do5#4	C5#4	322	322	1	16	278	95	96	SAZ 
113	9	Re5	D5	327	327	1	16	278	95	96	.
114	9	Do5#4	C5#4	322	322	1	16	278	95	96	.
115	9	Si4b4	B4b4	310	310	1	16	278	95	96	.
116	9	La4	A4	305	305	1	16	278	95	96	.
117	9	Si4b4	B4b4	310	310	1	16	278	95	96	.
118	9	Do5#4	C5#4	322	322	4	8	2223	95	96	.
119	9	Sol5	G5	349	349	1	8	556	99	96	Dî
120	9	Fa5	F5	340	340	1	8	556	95	96	
