Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
67	9	La4	A4	305	305	3	16	682	95	96	.
68	9	Sol4	G4	296	296	1	16	227	95	96	.
69	9	La4	A4	305	305	1	16	227	95	96	.
70	9	Sol4	G4	296	296	1	16	227	95	96	.
71	9	Fa4	F4	287	287	1	16	227	95	96	.
72	9	Mi4	E4	283	283	1	16	227	95	96	.
73	9	Fa4	F4	287	287	1	4	909	95	96	.
74	9	Do5	C5	318	318	1	8	455	95	78	.
75	9	Re5	D5	327	327	1	16	227	95	90	.
76	9	Mi5	E5	336	336	1	16	227	95	102	.
77	9	Fa5	F5	340	340	3	8	1364	95	114	.
78	9	Fa5	F5	340	340	1	16	227	95	96	ARANAÐME
79	9	Mi5	E5	336	336	1	16	227	95	96	.
80	9	Fa5	F5	340	340	1	8	455	50	96	.
81	9	Sol5	G5	349	349	1	8	455	50	96	.
82	9	La5	A5	358	358	3	16	682	95	114	.
83	9	Sol5	G5	349	349	1	16	227	95	102	.
84	9	Fa5	F5	340	340	1	8	455	95	90	.
85	9	Mi5	E5	336	336	1	8	455	95	78	.
86	9	Sol5	G5	349	349	3	16	682	95	114	.
87	9	Fa5	F5	340	340	1	16	227	95	102	.
88	9	Mi5	E5	336	336	1	8	455	95	90	.
89	9	Re5	D5	327	327	1	8	455	95	78	.
90	9	Mi5	E5	336	336	1	8	455	95	84	.
91	9	Fa5	F5	340	340	1	8	455	95	84	.
92	9	Sol5	G5	349	349	1	16	227	95	114	.
93	9	Fa5	F5	340	340	1	16	227	95	105	.
94	9	Mi5	E5	336	336	1	16	227	95	96	.
95	9	Re5	D5	327	327	1	16	227	95	87	.
96	9	Do5	C5	318	318	3	8	1364	95	78	.
97	8	Mi6	E6	389	389	1	64	57	95	96	.
98	9	Re6	D6	380	380	1	8	455	95	96	.
99	9	Do6	C6	371	371	1	8	455	95	96	.
100	9	Si5b5	B5b5	362	362	1	8	455	95	96	.
101	9	La5	A5	358	358	1	8	455	95	96	.
102	9	Do6	C6	371	371	1	8	455	95	96	.
103	8	Do6	C6	371	371	1	64	57	95	96	.
104	9	Si5b5	B5b5	362	362	1	8	455	95	96	.
105	9	La5	A5	358	358	1	8	455	95	96	.
106	9	Sol5	G5	349	349	1	8	455	95	96	.
107	9	La5	A5	358	358	1	8	455	95	96	.
108	9	Do6	C6	371	371	1	16	227	95	96	.
109	9	Si5b5	B5b5	362	362	1	16	227	95	96	.
110	9	La5	A5	358	358	1	16	227	95	96	.
111	9	Sol5	G5	349	349	1	16	227	95	96	.
112	9	Fa5	F5	340	340	1	2	1818	95	96	.
113	9	Sol5	G5	349	349	1	8	455	95	78	.
114	9	La5	A5	358	358	1	8	455	95	84	.
115	9	Si5b5	B5b5	362	362	3	16	682	95	90	.
116	10	La5	A5	358	358	7	128	199	95	96	.
117	8	Si5b5	B5b5	362	362	1	128	28	95	102	.
118	9	Sol5	G5	349	349	1	8	455	95	108	.
119	9	Si5b5	B5b5	362	362	1	8	455	95	114	.
120	9	La5	A5	358	358	3	16	682	95	96	.
121	9	Sol5	G5	349	349	1	16	227	95	96	.
122	9	Fa5	F5	340	340	1	8	455	95	96	.
123	9	La5	A5	358	358	1	8	455	95	96	.
124	9	Sol5	G5	349	349	3	16	682	95	96	.
125	9	Fa5	F5	340	340	1	16	227	95	96	.
126	9	Mi5	E5	336	336	1	8	455	95	96	.
127	9	Sol5	G5	349	349	1	8	455	95	96	.
128	9	Fa5	F5	340	340	3	16	682	95	96	.
129	9	Mi5	E5	336	336	1	16	227	95	96	.
130	9	Re5	D5	327	327	1	8	455	95	96	.
131	9	Fa5	F5	340	340	1	8	455	95	96	.
132	9	Mi5	E5	336	336	1	8	455	95	96	.
133	9	Re5	D5	327	327	1	8	455	95	96	.
134	9	Do5	C5	318	318	3	16	682	95	96	.
135	9	Si4b5	B4b5	309	309	1	16	227	95	96	.
136	9	La4	A4	305	305	1	8	455	95	96	.
137	9	Fa5	F5	340	340	1	8	455	95	96	.
138	8	Fa5	F5	340	340	1	64	57	95	96	.
139	9	Mi5	E5	336	336	1	8	455	95	96	.
140	9	Re5	D5	327	327	1	8	455	95	96	.
141	9	Do5	C5	318	318	1	8	455	95	96	.
142	9	Si4b5	B4b5	309	309	1	8	455	95	96	.
143	9	La4	A4	305	305	3	16	682	95	114	.
144	9	Sol4	G4	296	296	1	16	227	95	108	.
145	9	La4	A4	305	305	1	16	227	95	102	.
146	9	Sol4	G4	296	296	1	16	227	95	96	.
147	9	Fa4	F4	287	287	1	16	227	95	90	.
148	9	Mi4	E4	283	283	1	16	227	95	84	.
149	9	Fa4	F4	287	287	3	4	2727	95	78	.
