Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
44	9	Do5	C5	318	318	1	8	370	99	96	me 
45	9	Si4b1	B4b1	313	313	1	8	370	99	96	
46	9	Si4b1	B4b1	313	313	1	4	741	99	96	
47	9	La4	A4	305	305	1	16	185	99	96	
48	9	Sol4	G4	296	296	1	16	185	95	96	
49	8	La4	A4	305	305	3	64	139	95	96	
50	9	Sol4	G4	296	296	5	8	1852	95	96	hep 
51	9	Re4	D4	274	274	1	8	370	95	96	SAZ
52	9	Mi4	E4	283	283	1	16	185	95	96	.
53	9	Fa4#4	F4#4	291	291	1	16	185	95	96	.
54	9	Sol4	G4	296	296	5	8	1852	95	96	.
55	9	Do5	C5	318	318	1	8	370	95	96	hü
56	9	Do5	C5	318	318	1	8	370	99	96	zün 
57	9	Si4b1	B4b1	313	313	1	8	370	95	96	
58	9	Si4b1	B4b1	313	313	1	8	370	99	96	do
59	9	La4	A4	305	305	1	8	370	95	96	
60	9	Do5	C5	318	318	1	4	741	99	96	lu
61	9	Si4b1	B4b1	313	313	1	16	185	99	96	
62	9	La4	A4	305	305	1	16	185	95	96	
63	8	Si4b1	B4b1	313	313	3	64	139	95	96	
64	9	La4	A4	305	305	12	8	4445	95	96	yor  
65	9	Re5	D5	327	327	1	8	370	95	96	hü
66	9	Re5	D5	327	327	1	8	370	99	96	zün 
67	9	Mi5	E5	336	336	1	8	370	95	96	
68	9	Fa5	F5	340	340	1	8	370	99	96	do
69	9	Mi5	E5	336	336	1	8	370	95	96	
70	9	Re5	D5	327	327	1	8	370	99	96	lu
71	9	Do5	C5	318	318	1	8	370	99	96	
72	9	Si4b1	B4b1	313	313	1	8	370	95	96	
73	9	Re5	D5	327	327	5	8	1852	95	96	yor  
74	9	Sol4	G4	296	296	1	16	185	95	96	SAZ
75	9	La4	A4	305	305	1	16	185	95	96	.
76	9	Si4b1	B4b1	313	313	1	16	185	95	96	.
77	9	Do5	C5	318	318	1	16	185	95	96	.
78	9	Re5	D5	327	327	5	8	1852	95	96	.
79	9	Re5	D5	327	327	1	8	370	95	96	Yi
80	9	Sol5	G5	349	349	1	4	741	95	96	ne 
81	9	Sol5	G5	349	349	1	8	370	99	96	sen 
82	9	Fa5#1	F5#1	341	341	1	8	370	99	96	
83	9	Fa5	F5	340	340	1	8	370	99	96	
84	9	Mi5	E5	336	336	1	8	370	99	96	
85	9	Re5	D5	327	327	1	8	370	95	96	
86	9	Fa5	F5	340	340	9	8	3334	95	96	siz 
87	9	Mi5	E5	336	336	3	8	1111	95	96	
88	9	Mi5	E5	336	336	1	8	370	95	96	yi
89	9	Mi5	E5	336	336	1	8	370	99	96	ne 
90	9	Re5	D5	327	327	1	8	370	95	96	
91	9	Re5	D5	327	327	1	8	370	99	96	sen 
92	9	Do5	C5	318	318	1	8	370	99	96	
93	9	Do5	C5	318	318	1	4	741	99	96	
94	9	Si4b1	B4b1	313	313	1	8	370	95	96	
95	9	Re5	D5	327	327	5	8	1852	95	96	siz 
96	9	Sol4	G4	296	296	3	32	278	95	96	SAZ
97	9	La4	A4	305	305	1	32	93	95	96	.
98	9	Si4b1	B4b1	313	313	1	16	185	95	96	.
99	9	Do5	C5	318	318	1	16	185	95	96	.
100	9	Re5	D5	327	327	5	8	1852	95	96	.
101	9	Re5	D5	327	327	1	8	370	95	96	sa
102	9	Re5	D5	327	327	1	8	370	99	96	bah 
103	9	Do5#4	C5#4	322	322	1	8	370	95	96	
104	9	Do5#4	C5#4	322	322	1	8	370	99	96	o
105	9	Si4b4	B4b4	310	310	1	8	370	95	96	
106	9	Si4b4	B4b4	310	310	1	4	741	99	96	lu
107	9	La4	A4	305	305	1	16	185	99	96	
108	9	Sol4	G4	296	296	1	16	185	95	96	
109	8	La4	A4	305	305	3	64	139	95	96	
110	9	Sol4	G4	296	296	5	8	1852	95	96	yor  
111	10	Do5	C5	318	318	7	64	324	99	96	ah 
112	8	Re5	D5	327	327	1	64	46	99	96	
113	9	Do5	C5	318	318	1	16	185	99	96	
114	9	Si4b1	B4b1	313	313	1	16	185	99	96	
115	9	Do5	C5	318	318	1	4	741	99	96	
116	9	Si4b1	B4b1	313	313	3	8	1111	95	96	
117	9	Si4b1	B4b1	313	313	1	8	370	95	96	sa
118	9	Si4b1	B4b1	313	313	1	8	370	99	96	bah 
119	9	La4	A4	305	305	1	8	370	95	96	
120	9	La4	A4	305	305	1	8	370	99	96	o
121	9	Sol4	G4	296	296	1	8	370	95	96	
122	9	Fa4#4	F4#4	291	291	3	16	556	99	96	lu
123	9	Mi4	E4	283	283	1	16	185	99	96	
124	9	Re4	D4	274	274	1	8	370	95	96	
125	9	Sol4	G4	296	296	12	8	4445	95	96	yor  
126	9	Re5	D5	327	327	1	8	370	95	96	SAZ
127	9	Re5	D5	327	327	1	8	370	95	96	.
128	9	Mi5	E5	336	336	1	8	370	95	96	.
129	9	Fa5	F5	340	340	1	8	370	95	96	.
130	9	Mi5	E5	336	336	1	8	370	95	96	.
131	9	Re5	D5	327	327	1	8	370	95	96	.
132	9	Do5	C5	318	318	1	8	370	95	96	.
133	9	Si4b1	B4b1	313	313	1	8	370	95	96	.
134	9	Re5	D5	327	327	5	8	1852	95	96	.
135	9	Sol4	G4	296	296	1	16	185	95	96	.
136	9	La4	A4	305	305	1	16	185	95	96	.
137	9	Si4b1	B4b1	313	313	1	16	185	95	96	.
138	9	Do5	C5	318	318	1	16	185	95	96	.
139	9	Re5	D5	327	327	5	8	1852	95	96	.
140	9	Re5	D5	327	327	1	8	370	95	96	Yi
141	9	Sol5	G5	349	349	1	4	741	95	96	ne 
142	9	Sol5	G5	349	349	1	8	370	99	96	sen 
143	9	Fa5#1	F5#1	341	341	1	8	370	99	96	
144	9	Fa5	F5	340	340	1	8	370	99	96	
145	9	Mi5	E5	336	336	1	8	370	99	96	
146	9	Re5	D5	327	327	1	8	370	95	96	
147	9	Fa5	F5	340	340	9	8	3334	95	96	siz 
148	9	Mi5	E5	336	336	3	8	1111	95	96	
149	9	Mi5	E5	336	336	1	8	370	95	96	yi
150	9	Mi5	E5	336	336	1	8	370	99	96	ne 
151	9	Re5	D5	327	327	1	8	370	95	96	
152	9	Re5	D5	327	327	1	8	370	99	96	sen 
153	9	Do5	C5	318	318	1	8	370	99	96	
154	9	Do5	C5	318	318	1	4	741	99	96	
155	9	Si4b1	B4b1	313	313	1	8	370	95	96	
156	9	Re5	D5	327	327	5	8	1852	95	96	siz 
157	9	Sol4	G4	296	296	3	32	278	95	96	SAZ
158	9	La4	A4	305	305	1	32	93	95	96	.
159	9	Si4b1	B4b1	313	313	1	16	185	95	96	.
160	9	Do5	C5	318	318	1	16	185	95	96	.
161	9	Re5	D5	327	327	5	8	1852	95	96	.
162	9	Re5	D5	327	327	1	8	370	95	96	sa
163	9	Re5	D5	327	327	1	8	370	99	96	bah 
164	9	Do5#4	C5#4	322	322	1	8	370	95	96	
165	9	Do5#4	C5#4	322	322	1	8	370	99	96	o
166	9	Si4b4	B4b4	310	310	1	8	370	95	96	
167	9	Si4b4	B4b4	310	310	1	4	741	99	96	lu
168	9	La4	A4	305	305	1	16	185	99	96	
169	9	Sol4	G4	296	296	1	16	185	95	96	
170	8	La4	A4	305	305	3	64	139	95	96	
171	9	Sol4	G4	296	296	5	8	1852	95	96	yor  
172	10	Do5	C5	318	318	7	64	324	99	96	ah 
173	8	Re5	D5	327	327	1	64	46	99	96	
174	9	Do5	C5	318	318	1	16	185	99	96	
175	9	Si4b1	B4b1	313	313	1	16	185	99	96	
176	9	Do5	C5	318	318	1	4	741	99	96	
177	9	Si4b1	B4b1	313	313	3	8	1111	95	96	
178	9	Si4b1	B4b1	313	313	1	8	370	95	96	sa
179	9	Si4b1	B4b1	313	313	1	8	370	99	96	bah 
180	9	La4	A4	305	305	1	8	370	95	96	
181	9	La4	A4	305	305	1	8	370	99	96	o
182	9	Sol4	G4	296	296	1	8	370	95	96	
183	9	Fa4#4	F4#4	291	291	3	16	556	99	96	lu
184	9	Mi4	E4	283	283	1	16	185	99	96	
185	9	Re4	D4	274	274	1	8	370	95	96	
186	9	Sol4	G4	296	296	12	8	4445	95	96	yor  
187	9	Re5	D5	327	327	1	8	370	95	96	.
188	9	Mi5	E5	336	336	1	8	370	95	96	.
189	9	Fa5#5	F5#5	345	345	1	8	370	95	96	.
190	9	Sol5	G5	349	349	1	4	741	95	96	.
191	9	Si5	B5	367	367	1	8	370	95	96	.
192	9	La5	A5	358	358	1	8	370	95	96	.
193	9	Sol5	G5	349	349	1	8	370	95	96	.
194	9	Sol5	G5	349	349	5	8	1852	95	96	.
195	9	Re5	D5	327	327	1	8	370	95	96	.
196	9	Mi5	E5	336	336	1	16	185	95	96	.
197	9	Fa5#5	F5#5	345	345	1	16	185	95	96	.
198	9	Sol5	G5	349	349	5	8	1852	95	96	.
199	9	Sol5	G5	349	349	1	8	370	95	96	Ge
200	9	Sol5	G5	349	349	1	4	741	95	96	çi
201	9	Sol5	G5	349	349	1	8	370	99	96	yor 
202	9	Fa5#5	F5#5	345	345	1	8	370	95	96	
203	9	Mi5	E5	336	336	1	4	741	99	96	gün 
204	9	Fa5#5	F5#5	345	345	1	8	370	95	96	
205	9	Sol5	G5	349	349	5	8	1852	95	96	ler 
206	9	Fa5	F5	340	340	1	16	185	95	96	SAZ
207	9	Mi5	E5	336	336	1	16	185	95	96	.
208	9	Re5	D5	327	327	1	16	185	95	96	.
209	9	Do5	C5	318	318	1	16	185	95	96	.
210	9	Si4b1	B4b1	313	313	3	32	278	95	96	.
211	9	La4	A4	305	305	1	32	93	95	96	.
212	9	Sol4	G4	296	296	4	8	1481	95	96	.
213	9	La5	A5	358	358	1	8	370	95	96	ö
214	9	La5	A5	358	358	1	8	370	99	96	mür 
215	9	Sol5	G5	349	349	1	8	370	95	96	
216	9	Fa5#5	F5#5	345	345	1	8	370	99	96	do
217	9	Mi5	E5	336	336	1	16	185	99	96	
218	9	Fa5#5	F5#5	345	345	1	16	185	95	96	
219	9	Sol5	G5	349	349	1	8	370	99	96	lu
220	9	Mi5	E5	336	336	1	8	370	99	96	
221	9	Re5	D5	327	327	1	8	370	95	96	
222	9	Re5	D5	327	327	12	8	4445	95	96	yor  
223	9	La5	A5	358	358	1	8	370	95	96	ö
224	9	La5	A5	358	358	1	8	370	99	96	mür 
225	9	Do6	C6	371	371	1	8	370	95	96	
226	9	Si5	B5	367	367	1	8	370	99	96	do
227	9	La5	A5	358	358	1	8	370	95	96	
228	9	Sol5	G5	349	349	1	16	185	99	96	lu
229	9	Fa5#5	F5#5	345	345	1	16	185	99	96	
230	9	Mi5	E5	336	336	1	8	370	99	96	
231	9	Fa5#5	F5#5	345	345	1	8	370	95	96	
232	9	Sol5	G5	349	349	12	8	4445	95	96	yor  
233	9	Re5	D5	327	327	1	8	370	95	96	SAZ
234	9	Mi5	E5	336	336	1	8	370	95	96	.
235	9	Fa5#5	F5#5	345	345	1	8	370	95	96	.
236	9	Sol5	G5	349	349	1	4	741	95	96	.
237	9	Si5	B5	367	367	1	8	370	95	96	.
238	9	La5	A5	358	358	1	8	370	95	96	.
239	9	Sol5	G5	349	349	1	8	370	95	96	.
240	9	Sol5	G5	349	349	5	8	1852	95	96	.
241	9	Re5	D5	327	327	1	8	370	95	96	.
242	9	Mi5	E5	336	336	1	16	185	95	96	.
243	9	Fa5#5	F5#5	345	345	1	16	185	95	96	.
244	9	Sol5	G5	349	349	5	8	1852	95	96	.
245	9	Sol5	G5	349	349	1	8	370	95	96	Ge
246	9	Sol5	G5	349	349	1	4	741	95	96	çi
247	9	Sol5	G5	349	349	1	8	370	99	96	yor 
248	9	Fa5#5	F5#5	345	345	1	8	370	95	96	
249	9	Mi5	E5	336	336	1	4	741	99	96	gün
250	9	Fa5#5	F5#5	345	345	1	8	370	95	96	
251	9	Sol5	G5	349	349	3	8	1111	95	96	ler 
252	9	Sol5	G5	349	349	1	4	741	95	96	SAZ
253	9	Fa5	F5	340	340	1	16	185	95	96	.
254	9	Mi5	E5	336	336	1	16	185	95	96	.
255	9	Re5	D5	327	327	1	16	185	95	96	.
256	9	Do5	C5	318	318	1	16	185	95	96	.
257	9	Si4b1	B4b1	313	313	3	32	278	95	96	.
258	9	La4	A4	305	305	1	32	93	95	96	.
259	9	Sol4	G4	296	296	4	8	1481	95	96	.
260	9	La5	A5	358	358	1	8	370	95	96	ö
261	9	La5	A5	358	358	1	8	370	99	96	mür 
262	9	Sol5	G5	349	349	1	8	370	95	96	
263	9	Fa5#4	F5#4	344	344	1	8	370	99	96	do
264	9	Mi5	E5	336	336	1	16	185	99	96	
