Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
153	9	Re5	D5	327	327	1	16	227	99	96	
154	9	Mi5	E5	336	336	1	16	227	99	96	
155	9	Re5	D5	327	327	1	16	227	99	96	
156	9	Do5	C5	318	318	1	16	227	99	96	
157	9	Si4b2	B4b1	312	313	1	16	227	99	96	
158	9	La4	A4	305	305	1	16	227	99	96	
159	9	Sol4	G4	296	296	1	8	455	95	96	
160	9	Do5	C5	318	318	1	4	909	99	96	de 
161	9	Si4b2	B4b1	312	313	1	16	227	99	96	
162	9	La4	A4	305	305	1	16	227	99	96	
163	9	Sol4	G4	296	296	1	8	455	99	96	
164	9	Si4b2	B4b1	312	313	1	4	909	99	96	
165	9	La4	A4	305	305	1	16	227	99	96	
166	9	Sol4	G4	296	296	1	16	227	99	96	
167	9	Fa4#3	F4#4	290	291	1	8	455	95	96	
168	9	La4	A4	305	305	1	16	227	99	96	de
169	9	Si4b2	B4b1	312	313	1	16	227	99	96	
170	9	Do5	C5	318	318	1	16	227	99	96	
171	9	Re5	D5	327	327	1	16	227	95	96	
172	9	Si4b2	B4b1	312	313	1	16	227	99	96	di
173	9	La4	A4	305	305	1	16	227	95	96	
174	9	La4	A4	305	305	3	8	1364	95	96	ler  
175	9	Fa5#4	F5#4	344	344	1	16	227	95	96	SAZ 
176	9	Sol5	G5	349	349	1	16	227	95	96	.
177	9	La5	A5	358	358	1	16	227	95	96	.
178	9	Sol5	G5	349	349	1	16	227	95	96	.
179	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.
180	9	Sol5	G5	349	349	1	16	227	95	96	.
181	9	La5	A5	358	358	5	8	2273	95	96	.
182	9	Sol5	G5	349	349	1	4	909	95	96	Hâl_
183	9	La5	A5	358	358	1	8	455	95	96	i 
184	9	La5	A5	358	358	1	2	1818	95	96	þû
185	9	Si5b5	B5b5	362	362	1	8	455	99	96	rî
186	9	La5	A5	358	358	1	16	227	99	96	
187	9	Sol5	G5	349	349	1	16	227	99	96	
188	9	Fa5#4	F5#4	344	344	1	8	455	99	96	
189	9	Mi5b4	E5b4	332	332	1	16	227	99	96	
190	9	Fa5#4	F5#4	344	344	1	16	227	99	96	
191	9	Sol5	G5	349	349	1	8	455	99	96	
192	9	Fa5#4	F5#4	344	344	1	16	227	99	96	
193	9	Mi5b4	E5b4	332	332	1	16	227	99	96	
194	9	Re5	D5	327	327	3	16	682	99	96	
195	9	Sol5	G5	349	349	1	16	227	99	96	
