Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	VelOn	Söz-1
37	9	Mi5	E5	336	336	5	8	1271	95	96	.
38	9	Do5	C5	318	318	3	16	381	95	96	.
39	9	Si4	B4	314	314	1	16	127	95	96	.
40	9	La4	A4	305	305	3	8	763	95	96	.
41	9	Mi5	E5	336	336	1	16	127	95	96	.
42	9	Re5#4	D5#4	331	331	1	16	127	95	96	.
43	9	Mi5	E5	336	336	1	8	254	95	96	.
44	7	Do5	C5	318	318	4	16	508	95	96	.
45	9	Si4	B4	314	314	1	8	254	95	96	.
46	9	Re5	D5	327	327	1	16	127	95	96	.
47	9	Do5#4	C5#4	322	322	1	16	127	95	96	.
48	9	Re5	D5	327	327	1	8	254	95	96	.
49	12	Si4	B4	314	314	2	8	508	95	96	.
50	9	La4	A4	305	305	1	8	254	95	96	.
51	9	Do5	C5	318	318	1	8	254	95	96	.
52	9	Si4	B4	314	314	1	8	254	95	96	.
53	9	La4	A4	305	305	1	8	254	95	96	.
54	9	La4	A4	305	305	1	8	254	95	96	.
55	9	Sol4#4	G#4	300	300	1	8	254	95	96	.
56	9	La4	A4	305	305	1	4	508	95	96	.
57	9	Si4	B4	314	314	1	8	254	95	96	.
58	9	Do5	C5	318	318	1	8	254	95	96	.
59	9	Re5	D5	327	327	1	8	254	95	96	.
60	9	Mi5	E5	336	336	1	4	508	95	96	.
61	9	Mi5	E5	336	336	1	8	254	95	96	A
62	9	Mi5	E5	336	336	1	4	508	95	96	raz 
63	9	Mi5	E5	336	336	1	4	508	95	96	üs
64	9	Mi5	E5	336	336	3	8	763	95	96	te 
65	9	La5	A5	358	358	1	4	508	95	96	buz 
66	9	La5	A5	358	358	3	8	763	95	96	üs
67	8	Si5	B5	367	367	3	128	48	95	96	
68	9	La5	A5	358	358	3	16	381	99	96	te  
69	9	Sol5#4	G#4	353	353	1	16	127	99	96	
70	9	Fa5	F5	340	340	1	16	127	99	96	
71	9	Mi5	E5	336	336	1	16	127	99	96	
72	9	Fa5	F5	340	340	1	4	508	95	96	
73	7	Sol5#4	G#4	353	353	4	16	508	95	96	Ke
74	9	La5	A5	358	358	1	32	64	99	96	bap 
75	9	Si5	B5	367	367	1	32	64	99	96	
76	9	La5	A5	358	358	1	32	64	99	96	
77	9	Sol5#4	G#4	353	353	1	32	64	99	96	
78	9	La5	A5	358	358	1	4	508	95	96	
79	9	Fa5	F5	340	340	1	4	508	95	96	ya
80	9	Sol5#4	G#4	353	353	1	32	64	99	96	nar 
81	9	La5	A5	358	358	1	32	64	99	96	
82	9	Sol5#4	G#4	353	353	1	32	64	99	96	
83	9	Fa5	F5	340	340	1	32	64	99	96	
84	9	Sol5#4	G#4	353	353	1	4	508	95	96	
85	9	Mi5	E5	336	336	1	4	508	95	96	köz 
86	9	Fa5	F5	340	340	3	16	381	99	96	üs
87	11	Mi5	E5	336	336	1	16	127	99	96	
88	9	Re5#4	D5#4	331	331	1	8	254	95	96	
89	9	Mi5	E5	336	336	1	4	508	95	96	te  
90	9	La4	A4	305	305	1	16	127	95	96	SAZ
91	9	Si4	B4	314	314	1	16	127	95	96	.
92	9	Do5	C5	318	318	1	16	127	95	96	.
93	9	Re5#4	D5#4	331	331	1	16	127	95	96	.
94	9	Mi5	E5	336	336	1	16	127	95	96	.
95	9	Fa5	F5	340	340	1	16	127	95	96	.
96	9	Mi5	E5	336	336	1	4	508	95	96	.
97	9	Mi5	E5	336	336	1	8	254	95	96	A
98	9	Mi5	E5	336	336	1	4	508	95	96	raz 
99	9	Mi5	E5	336	336	1	4	508	95	96	üs
100	9	Mi5	E5	336	336	3	8	763	95	96	te 
101	9	La5	A5	358	358	1	4	508	95	96	buz 
102	9	La5	A5	358	358	3	8	763	95	96	üs
103	8	Si5	B5	367	367	3	128	48	95	96	
104	9	La5	A5	358	358	3	16	381	99	96	te  
105	9	Sol5#4	G#4	353	353	1	16	127	99	96	
106	9	Fa5	F5	340	340	1	16	127	99	96	
107	9	Mi5	E5	336	336	1	16	127	99	96	
108	9	Fa5	F5	340	340	1	4	508	95	96	
109	7	Sol5#4	G#4	353	353	4	16	508	95	96	Ke
110	9	La5	A5	358	358	1	32	64	99	96	bap 
111	9	Si5	B5	367	367	1	32	64	99	96	
112	9	La5	A5	358	358	1	32	64	99	96	
113	9	Sol5#4	G#4	353	353	1	32	64	99	96	
114	9	La5	A5	358	358	1	4	508	95	96	
115	9	Fa5	F5	340	340	1	4	508	95	96	ya
116	9	Sol5#4	G#4	353	353	1	32	64	99	96	nar 
117	9	La5	A5	358	358	1	32	64	99	96	
118	9	Sol5#4	G#4	353	353	1	32	64	99	96	
119	9	Fa5	F5	340	340	1	32	64	99	96	
120	9	Sol5#4	G#4	353	353	1	4	508	95	96	
121	9	Mi5	E5	336	336	1	4	508	95	96	köz 
122	8	Sol5	G5	349	349	3	128	48	95	96	
123	9	Fa5	F5	340	340	3	16	381	99	96	üs
124	9	Mi5	E5	336	336	1	16	127	99	96	
125	9	Re5#4	D5#4	331	331	1	8	254	95	96	
126	9	Mi5	E5	336	336	1	4	508	95	96	te  
127	9	Re5	D5	327	327	1	16	127	95	96	SAZ
128	9	Mi5	E5	336	336	1	16	127	95	96	.
129	9	Fa5#3	F5#4	343	344	1	16	127	95	96	.
130	9	Sol5	G5	349	349	1	16	127	95	96	.
131	9	Fa5#3	F5#4	343	344	1	16	127	95	96	.
132	9	La5	A5	358	358	1	16	127	95	96	.
133	9	Sol5	G5	349	349	1	4	508	95	96	.
134	9	Mi5	E5	336	336	1	8	254	95	96	Goy 
135	9	Fa5#3	F5#4	343	344	1	4	508	95	96	me
136	9	Sol5	G5	349	349	1	16	127	99	96	ni 
137	9	Fa5#3	F5#4	343	344	1	16	127	99	96	
138	9	Sol5	G5	349	349	1	8	254	95	96	
139	12	Mi5	E5	336	336	2	8	508	99	96	gö
140	9	Re5	D5	327	327	1	8	254	95	96	
141	9	Fa5	F5	340	340	1	16	127	99	96	tür
142	9	Mi5	E5	336	336	1	16	127	99	96	
143	9	Fa5	F5	340	340	1	8	254	95	96	
144	9	Re5	D5	327	327	3	8	763	95	96	sün
